ID,Name,Status,Code,Quantity,Price
1,Apple MacBook Pro,,APP-MBP16-SIL,20,2399.99
2,Samsung 4K QLED TV,,SAM-QLED4K-75,5,2999.99
3,Google Pixel 6 Pro,,GGL-PXL6P-BLK,15,999.99
4,Sony Alpha 7R IV Camera,,SONY-A7R4-BDY,8,3499.99
5,Beats Studio Buds,,BTS-STDBUD-BLK,40,149.99
6,Logitech MX Master 3,,LGT-MXMT3-BLK,25,99.99
7,Apple Watch Series 7,,APP-WATCH7-ALU,10,399.99
8,"Sony 65"" 4K OLED TV",,SONY-OLED4K-65,3,4999.99
9,Bose SoundLink Revolve+,,BOSE-SLREV-BLK,20,249.99
10,Lenovo Legion 5 Pro,,LEN-LEG5P-80,12,1699.99
1,Apple iPhone XR,,IPH-XR-BLK,50,699.99
1,Apple MacBook Pro,,APP-MBP16-SIL,20,2399.99
